doc_name,page_number,table_id,struct_valid,numeric_ratio,mode_used,risky_table
kztk_af_4_2025.pdf,218,1,1.0,0.0,lattice,True
matnp_2024_rus.pdf,44,1,1.0,0.0,lattice,True
matnp_2024_rus.pdf,46,1,1.0,0.0,lattice,True
matnp_2024_rus.pdf,47,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,1,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,2,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,3,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,4,1,1.0,0.0136986301369863,lattice,True
oasif6_2024_rus.pdf,5,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,6,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,7,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,8,1,1.0,0.010638297872340425,lattice,True
oasif6_2024_rus.pdf,9,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,10,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,11,1,1.0,0.0196078431372549,lattice,True
oasif6_2024_rus.pdf,12,1,1.0,0.0125,lattice,True
oasif6_2024_rus.pdf,13,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,14,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,15,1,1.0,0.015625,lattice,True
oasif6_2024_rus.pdf,16,1,1.0,0.012987012987012988,lattice,True
oasif6_2024_rus.pdf,17,1,1.0,0.014084507042253521,lattice,True
oasif6_2024_rus.pdf,18,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,19,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,20,1,1.0,0.012048192771084338,lattice,True
oasif6_2024_rus.pdf,21,1,1.0,0.013333333333333334,lattice,True
oasif6_2024_rus.pdf,22,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,23,1,1.0,0.03333333333333333,lattice,True
oasif6_2024_rus.pdf,24,1,1.0,0.013513513513513514,lattice,True
oasif6_2024_rus.pdf,25,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,26,1,1.0,0.013888888888888888,lattice,True
oasif6_2024_rus.pdf,27,1,1.0,0.02040816326530612,lattice,True
oasif6_2024_rus.pdf,28,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,29,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,30,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,31,1,1.0,0.038461538461538464,lattice,True
oasif6_2024_rus.pdf,32,1,1.0,0.02631578947368421,lattice,True
oasif6_2024_rus.pdf,33,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,34,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,35,1,1.0,0.0,lattice,True
oasif6_2024_rus.pdf,36,1,1.0,0.2,lattice,False
oasi_af_4_2025.pdf,1,1,1.0,0.0,lattice,True
oasi_af_4_2025.pdf,2,1,1.0,0.09090909090909091,lattice,True
oasi_af_4_2025.pdf,3,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,60,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,61,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,62,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,63,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,64,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,65,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,66,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,67,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,68,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,69,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,70,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,71,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,72,1,1.0,0.0,lattice,True
rahtp_2024_rus.pdf,73,1,1.0,0.0,lattice,True
raht_af_4_2025.pdf,1,1,1.0,0.0,lattice,True
raht_af_4_2025.pdf,2,1,1.0,0.0,lattice,True
raht_af_4_2025.pdf,3,1,1.0,0.0,lattice,True
